Data,V_SP500,V_IBOV
4/3/2006,1.297.810.059,38.717.000.000
4/4/2006,1.305.930.054,38.802.000.000
4/5/2006,1.311.560.059,39.053.000.000
4/6/2006,1.309.040.039,39.285.000.000
4/7/2006,1.295.500.000,38.926.000.000
4/10/2006,1.296.619.995,38.475.000.000
4/11/2006,1.286.569.946,37.901.000.000
4/12/2006,1.288.119.995,38.427.000.000
4/13/2006,1.289.119.995,38.082.000.000
4/17/2006,1.285.329.956,38.462.000.000
4/18/2006,1.307.280.029,39.572.000.000
4/19/2006,1.309.930.054,39.938.000.000
4/20/2006,1.311.459.961,39.775.000.000
4/24/2006,1.308.109.985,39.751.000.000
4/25/2006,1.301.739.990,39.738.000.000
4/26/2006,1.305.410.034,40.410.000.000
4/27/2006,1.309.719.971,39.751.000.000
4/28/2006,1.310.609.985,40.363.000.000
5/2/2006,1.313.209.961,41.017.000.000
5/3/2006,1.308.119.995,40.920.000.000
5/4/2006,1.312.250.000,40.976.000.000
5/5/2006,1.325.760.010,41.417.000.000
5/8/2006,1.324.660.034,41.515.000.000
5/9/2006,1.325.140.015,41.979.000.000
5/10/2006,1.322.849.976,41.752.000.000
5/11/2006,1.305.920.044,40.847.000.000
5/12/2006,1.291.239.990,40.223.000.000
5/15/2006,1.294.500.000,39.271.000.000
5/16/2006,1.292.079.956,39.416.000.000
5/17/2006,1.270.319.946,38.291.000.000
5/18/2006,1.261.810.059,37.807.000.000
5/19/2006,1.267.030.029,37.733.000.000
5/22/2006,1.262.069.946,36.497.000.000
5/23/2006,1.256.579.956,36.110.000.000
5/24/2006,1.258.569.946,35.792.000.000
5/25/2006,1.272.880.005,37.569.000.000
5/26/2006,1.280.160.034,38.506.000.000
5/30/2006,1.259.869.995,36.413.000.000
5/31/2006,1.270.089.966,36.530.000.000
6/1/2006,1.285.709.961,37.748.000.000
6/2/2006,1.288.219.971,37.942.000.000
6/5/2006,1.265.290.039,36.740.000.000
6/6/2006,1.263.849.976,36.558.000.000
6/7/2006,1.256.150.024,35.264.000.000
6/8/2006,1.257.930.054,35.438.000.000
6/9/2006,1.252.300.049,35.075.000.000
6/12/2006,1.237.439.941,33.555.000.000
6/13/2006,1.223.689.941,32.848.000.000
6/14/2006,1.230.040.039,32.941.000.000
6/16/2006,1.251.540.039,34.399.000.000
6/19/2006,1.240.130.005,33.897.000.000
6/20/2006,1.240.119.995,33.632.000.000
6/21/2006,1.252.199.951,34.547.000.000
6/22/2006,1.245.599.976,34.317.000.000
6/23/2006,1.244.500.000,34.661.000.000
6/26/2006,1.250.560.059,34.631.000.000
6/27/2006,1.239.199.951,34.376.000.000
6/28/2006,1.246.000.000,34.835.000.000
6/29/2006,1.272.869.995,36.487.000.000
6/30/2006,1.270.199.951,36.631.000.000
7/3/2006,1.280.189.941,37.357.000.000
7/5/2006,1.270.910.034,36.378.000.000
7/6/2006,1.274.079.956,36.533.000.000
7/7/2006,1.265.479.980,36.102.000.000
7/10/2006,1.267.339.966,36.141.000.000
7/11/2006,1.272.430.054,36.554.000.000
7/12/2006,1.258.599.976,36.230.000.000
7/13/2006,1.242.280.029,35.354.000.000
7/14/2006,1.236.199.951,35.350.000.000
7/17/2006,1.234.489.990,34.866.000.000
7/18/2006,1.236.859.985,35.130.000.000
7/19/2006,1.259.810.059,36.785.000.000
7/20/2006,1.249.130.005,35.847.000.000
7/21/2006,1.240.290.039,35.510.000.000
7/24/2006,1.260.910.034,36.224.000.000
7/25/2006,1.268.880.005,36.681.000.000
7/26/2006,1.268.400.024,36.594.000.000
7/27/2006,1.263.199.951,36.888.000.000
7/28/2006,1.278.550.049,37.381.000.000
7/31/2006,1.276.660.034,37.077.000.000
8/1/2006,1.270.920.044,36.839.000.000
8/2/2006,1.277.410.034,37.288.000.000
8/3/2006,1.280.270.020,37.451.000.000
8/4/2006,1.279.359.985,37.848.000.000
8/7/2006,1.275.770.020,37.698.000.000
8/8/2006,1.271.479.980,37.600.000.000
8/9/2006,1.265.949.951,37.255.000.000
8/10/2006,1.271.810.059,37.354.000.000
8/11/2006,1.266.739.990,36.944.000.000
8/14/2006,1.268.209.961,36.557.000.000
8/15/2006,1.285.579.956,37.296.000.000
8/16/2006,1.295.430.054,37.678.000.000
8/17/2006,1.297.479.980,37.559.000.000
8/18/2006,1.302.300.049,37.552.000.000
8/21/2006,1.297.520.020,37.161.000.000
8/22/2006,1.298.819.946,36.678.000.000
8/23/2006,1.292.989.990,35.512.000.000
8/24/2006,1.296.060.059,35.797.000.000
8/25/2006,1.295.089.966,35.958.000.000
8/28/2006,1.301.780.029,36.375.000.000
8/29/2006,1.304.280.029,36.304.000.000
8/30/2006,1.305.369.995,36.313.000.000
8/31/2006,1.303.819.946,36.232.000.000
9/1/2006,1.311.010.010,37.329.000.000
9/5/2006,1.313.250.000,37.368.000.000
9/6/2006,1.300.260.010,36.710.000.000
9/8/2006,1.298.920.044,36.558.000.000
9/11/2006,1.299.540.039,35.772.000.000
9/12/2006,1.313.000.000,36.147.000.000
9/13/2006,1.318.069.946,36.550.000.000
9/14/2006,1.316.280.029,36.154.000.000
9/15/2006,1.319.660.034,36.170.000.000
9/18/2006,1.321.180.054,36.483.000.000
9/19/2006,1.317.640.015,35.886.000.000
9/20/2006,1.325.180.054,35.197.000.000
9/21/2006,1.318.030.029,34.830.000.000
9/22/2006,1.314.780.029,34.799.000.000
9/25/2006,1.326.369.995,34.973.000.000
9/26/2006,1.336.349.976,35.819.000.000
9/27/2006,1.336.589.966,36.106.000.000
9/28/2006,1.338.880.005,36.486.000.000
9/29/2006,1.335.849.976,36.449.000.000
10/2/2006,1.331.319.946,37.058.000.000
10/3/2006,1.334.109.985,36.438.000.000
10/4/2006,1.350.199.951,37.749.000.000
10/5/2006,1.353.219.971,37.977.000.000
10/6/2006,1.349.589.966,37.940.000.000
10/9/2006,1.350.660.034,38.406.000.000
10/10/2006,1.353.420.044,38.655.000.000
10/11/2006,1.349.949.951,38.322.000.000
10/13/2006,1.365.619.995,38.850.000.000
10/16/2006,1.369.060.059,39.229.000.000
10/17/2006,1.364.050.049,38.898.000.000
10/18/2006,1.365.800.049,38.686.000.000
10/19/2006,1.366.959.961,38.920.000.000
10/20/2006,1.368.599.976,38.643.000.000
10/23/2006,1.377.020.020,39.227.000.000
10/24/2006,1.377.380.005,39.499.000.000
10/25/2006,1.382.219.971,39.563.000.000
10/26/2006,1.389.079.956,39.645.000.000
10/27/2006,1.377.339.966,39.328.000.000
10/30/2006,1.377.930.054,38.900.000.000
10/31/2006,1.377.939.941,39.263.000.000
11/1/2006,1.367.810.059,39.930.000.000
11/3/2006,1.364.300.049,40.435.000.000
11/6/2006,1.379.780.029,41.247.000.000
11/7/2006,1.382.839.966,41.048.000.000
11/8/2006,1.385.719.971,41.334.000.000
11/9/2006,1.378.329.956,40.815.000.000
11/10/2006,1.380.900.024,40.720.000.000
11/13/2006,1.384.420.044,40.606.000.000
11/14/2006,1.393.219.971,41.291.000.000
11/16/2006,1.399.760.010,41.162.000.000
11/17/2006,1.401.199.951,41.029.000.000
11/21/2006,1.402.810.059,41.570.000.000
11/22/2006,1.406.089.966,41.913.000.000
11/24/2006,1.400.949.951,41.758.000.000
11/27/2006,1.381.959.961,40.915.000.000
11/28/2006,1.386.719.971,41.043.000.000
11/29/2006,1.399.479.980,41.970.000.000
11/30/2006,1.400.630.005,41.932.000.000
12/1/2006,1.396.709.961,41.327.000.000
12/4/2006,1.409.119.995,42.654.000.000
12/5/2006,1.414.760.010,43.157.000.000
12/6/2006,1.412.900.024,43.096.000.000
12/7/2006,1.407.290.039,42.909.000.000
12/8/2006,1.409.839.966,42.978.000.000
12/11/2006,1.413.040.039,43.297.000.000
12/12/2006,1.411.560.059,43.018.000.000
12/13/2006,1.413.209.961,43.285.000.000
12/14/2006,1.425.489.990,43.755.000.000
12/15/2006,1.427.089.966,43.596.000.000
12/18/2006,1.422.479.980,43.509.000.000
12/19/2006,1.425.550.049,43.590.000.000
12/20/2006,1.423.530.029,43.502.000.000
12/21/2006,1.418.300.049,43.385.000.000
12/22/2006,1.410.760.010,43.356.000.000
12/26/2006,1.416.900.024,43.603.000.000
12/27/2006,1.426.839.966,44.526.000.000
12/28/2006,1.424.729.980,44.474.000.000
1/3/2007,1.416.599.976,44.445.000.000
1/4/2007,1.418.339.966,44.020.000.000
1/5/2007,1.409.709.961,42.245.000.000
1/8/2007,1.412.839.966,42.830.000.000
1/9/2007,1.412.109.985,42.007.000.000
1/10/2007,1.414.849.976,42.336.000.000
1/11/2007,1.423.819.946,42.670.000.000
1/12/2007,1.430.729.980,43.095.000.000
1/16/2007,1.431.900.024,42.624.000.000
1/17/2007,1.430.619.995,42.735.000.000
1/18/2007,1.426.369.995,42.478.000.000
1/19/2007,1.430.500.000,43.428.000.000
1/22/2007,1.422.949.951,43.553.000.000
1/23/2007,1.427.989.990,44.177.000.000
1/24/2007,1.440.130.005,44.687.000.000
1/26/2007,1.422.180.054,44.412.000.000
1/29/2007,1.420.619.995,43.573.000.000
1/30/2007,1.428.819.946,44.044.000.000
1/31/2007,1.438.239.990,44.642.000.000
2/1/2007,1.445.939.941,44.815.000.000
2/2/2007,1.448.390.015,44.998.000.000
2/5/2007,1.446.989.990,45.286.000.000
2/6/2007,1.448.000.000,45.352.000.000
2/7/2007,1.450.020.020,44.588.000.000
2/8/2007,1.448.310.059,44.892.000.000
2/9/2007,1.438.060.059,44.284.000.000
2/12/2007,1.433.369.995,43.935.000.000
2/13/2007,1.444.260.010,45.197.000.000
2/14/2007,1.455.300.049,45.996.000.000
2/15/2007,1.456.810.059,45.955.000.000
2/16/2007,1.455.540.039,45.849.000.000
2/21/2007,1.457.630.005,46.090.000.000
2/22/2007,1.456.380.005,46.452.000.000
2/23/2007,1.451.189.941,46.016.000.000
2/26/2007,1.449.369.995,46.207.000.000
2/27/2007,1.399.040.039,43.145.000.000
2/28/2007,1.406.819.946,43.892.000.000
3/1/2007,1.403.170.044,43.517.000.000
3/2/2007,1.387.170.044,42.370.000.000
3/5/2007,1.374.119.995,41.179.000.000
3/6/2007,1.395.410.034,43.218.000.000
3/7/2007,1.391.969.971,42.667.000.000
3/8/2007,1.401.890.015,43.466.000.000
3/9/2007,1.402.839.966,44.133.000.000
3/12/2007,1.406.599.976,44.249.000.000
3/13/2007,1.377.949.951,42.749.000.000
3/14/2007,1.387.170.044,43.288.000.000
3/15/2007,1.392.280.029,43.278.000.000
3/16/2007,1.386.949.951,42.730.000.000
3/19/2007,1.402.060.059,43.713.000.000
3/20/2007,1.410.939.941,44.351.000.000
3/21/2007,1.435.040.039,45.631.000.000
3/22/2007,1.434.540.039,45.424.000.000
3/23/2007,1.436.109.985,45.533.000.000
3/26/2007,1.437.500.000,45.645.000.000
3/27/2007,1.428.609.985,45.207.000.000
3/28/2007,1.417.229.980,44.484.000.000
3/29/2007,1.422.530.029,45.355.000.000
3/30/2007,1.420.859.985,45.805.000.000
4/2/2007,1.424.550.049,45.597.000.000
4/3/2007,1.437.770.020,46.288.000.000
4/4/2007,1.439.369.995,46.554.000.000
4/5/2007,1.443.760.010,46.647.000.000
4/9/2007,1.444.609.985,46.855.000.000
4/10/2007,1.448.390.015,47.174.000.000
4/11/2007,1.438.869.995,46.939.000.000
4/12/2007,1.447.800.049,47.347.000.000
4/13/2007,1.452.849.976,47.926.000.000
4/16/2007,1.468.329.956,48.921.000.000
4/17/2007,1.471.479.980,48.755.000.000
4/18/2007,1.472.500.000,48.710.000.000
4/19/2007,1.470.729.980,48.762.000.000
4/20/2007,1.484.349.976,49.408.000.000
4/23/2007,1.480.930.054,49.162.000.000
4/24/2007,1.480.410.034,49.071.000.000
4/25/2007,1.495.420.044,49.676.000.000
4/26/2007,1.494.250.000,49.068.000.000
4/27/2007,1.494.069.946,49.230.000.000
4/30/2007,1.482.369.995,48.956.000.000
5/2/2007,1.495.920.044,49.472.000.000
5/3/2007,1.502.390.015,50.218.000.000
5/4/2007,1.505.619.995,50.598.000.000
5/7/2007,1.509.479.980,50.282.000.000
5/8/2007,1.507.719.971,50.278.000.000
5/9/2007,1.512.579.956,51.300.000.000
5/10/2007,1.491.469.971,50.235.000.000
5/11/2007,1.505.849.976,50.902.000.000
5/14/2007,1.503.150.024,50.511.000.000
5/15/2007,1.501.189.941,50.518.000.000
5/16/2007,1.514.140.015,51.738.000.000
5/17/2007,1.512.750.000,51.631.000.000
5/18/2007,1.522.750.000,52.078.000.000
5/21/2007,1.525.099.976,52.423.000.000
5/22/2007,1.524.119.995,52.208.000.000
5/23/2007,1.522.280.029,51.813.000.000
5/24/2007,1.507.510.010,50.531.000.000
5/25/2007,1.515.729.980,51.618.000.000
5/29/2007,1.518.109.985,51.713.000.000
5/30/2007,1.530.229.980,52.528.000.000
5/31/2007,1.530.619.995,52.268.000.000
6/1/2007,1.536.339.966,53.423.000.000
6/4/2007,1.539.180.054,53.243.000.000
6/5/2007,1.530.949.951,53.162.000.000
6/6/2007,1.517.380.005,52.049.000.000
6/8/2007,1.507.670.044,52.330.000.000
6/11/2007,1.509.119.995,52.777.000.000
6/12/2007,1.493.000.000,51.797.000.000
6/13/2007,1.515.670.044,52.994.000.000
6/14/2007,1.522.969.971,53.713.000.000
6/15/2007,1.532.910.034,54.519.000.000
6/18/2007,1.531.050.049,54.730.000.000
6/19/2007,1.533.699.951,54.644.000.000
6/20/2007,1.512.839.966,54.029.000.000
6/21/2007,1.522.189.941,54.657.000.000
6/22/2007,1.502.560.059,54.267.000.000
6/25/2007,1.497.739.990,54.042.000.000
6/26/2007,1.492.890.015,53.852.000.000
6/27/2007,1.506.339.966,54.143.000.000
6/28/2007,1.505.709.961,54.147.000.000
6/29/2007,1.503.349.976,54.392.000.000
7/2/2007,1.519.430.054,55.371.000.000
7/3/2007,1.524.869.995,55.700.000.000
7/5/2007,1.525.400.024,55.932.000.000
7/6/2007,1.530.439.941,56.444.000.000
7/10/2007,1.510.119.995,55.883.000.000
